"","cand_pty_affiliation","general_votes","ttl_disb","can_party","disb","votes"
"208","IND",12503,26680.15,"Other",10.1916751222027,12503
"209","REP",239225,4836704.32,"REP",15.3917441211378,239225
"210","DEM",123812,15122.46,"DEM",9.62393633491227,123812
"211","DEM",222914,843089.12,"DEM",13.6448279490712,222914
"212","DEM",210606,904770.06,"DEM",13.7154361130509,210606
"213","REP",118038,49825.33,"REP",10.8162787682402,118038
"214","DEM",199113,1715240.17,"DEM",14.3550636695937,199113
"215","REP",138737,24648.18,"REP",10.1124583430736,138737
"216","DEM",183225,4242401.09,"DEM",15.2606399617351,183225
"217","REP",130818,123263.44,"REP",11.7220791326129,130818
"218","NPA",5180,23459.36,"Other",10.0630248413579,5180
"219","NPA",3897,10398,"Other",9.24936875894366,3897
"220","REP",157921,1529748.66,"REP",14.2406140053643,157921
"221","DEM",95319,37577.3,"DEM",10.5341554236594,95319
"222","REP",148547,3852722.34,"REP",15.1642905576843,148547
"223","DEM",115493,1401133.03,"DEM",14.1527917744159,115493
"224","REP",157917,3436514.81,"REP",15.0499683791519,157917
"225","DEM",129760,888454.46,"DEM",13.6972386703392,129760
"226","REP",210243,987256.84,"REP",13.8026855074612,210243
"227","DEM",148543,1058907.1,"DEM",13.8727478964674,148543
"228","REP",94056,44957.38,"REP",10.7134702088482,94056
"229","REP",207218,1216231.22,"REP",14.0112674714587,207218
"230","DEM",220146,450610.66,"DEM",13.0183589640462,220146
"231","DEM",253781,1058522.33,"DEM",13.872384465225,253781
"232","REP",46768,10106.94,"REP",9.22097759557737,46768
"233","REP",201088,2462526.7,"REP",14.7166984946092,201088
"234","DEM",124917,0,"DEM",-Inf,124917
"235","REP",174081,390260.26,"REP",12.8745691288713,174081
"236","REP",173983,1043968,"REP",13.858539395614,173983
"237","REP",256535,1333814,"REP",14.1035530654515,256535
"238","REP",243725,425435.32,"REP",12.9608682060403,243725
"239","REP",217935,915365.12,"REP",13.7270783029144,217935
"240","REP",159492,1098325.93,"REP",13.909297696712,159492
"241","DEM",99420,10440,"DEM",9.25339986143663,99420
"242","DEM",252833,938788.3,"DEM",13.752345280163,252833
"243","REP",216743,777699.83,"REP",13.5640959060897,216743
"244","DEM",18345,191715.54,"DEM",12.163767989911,18345
"245","REP",15617,126941.3,"REP",11.7514800538668,15617
"246","DEM",145417,489871.41,"DEM",13.101898207075,145417
"247","DEM",129083,489871.41,"DEM",13.101898207075,129083
"248","DEM",170848,1295662.48,"DEM",14.0745326898773,170848
"249","REP",242252,877578.38,"REP",13.6849215522705,242252
"250","DEM",113052,320424.19,"DEM",12.6774009907022,113052
"251","REP",205292,933105.89,"REP",13.7462739674945,205292
"252","CON",25005,1399.32,"Other",7.24374168332024,25005
"253","DEM",234037,621691.5,"DEM",13.3401992679748,234037
"254","REP",81817,20150,"REP",9.91095956737483,81817
"255","DEM",235051,838787.75,"DEM",13.6397129737068,235051
"256","DEM",225320,675798.29,"DEM",13.4236499229247,225320
"257","DEM",171297,560492.3,"DEM",13.2365707836658,171297
"258","DEM",212842,829547.64,"DEM",13.6286358191515,212842
"259","GRE",86222,6353,"Other",8.75668242126653,86222
"260","REP",208555,3357095.91,"REP",15.026586845706,208555
"261","DEM",143591,104678.51,"DEM",11.5586491226872,143591
"262","DEM",250584,503244.38,"DEM",13.1288311760279,250584
"263","DEM",144954,2646752.35,"DEM",14.7888439180866,144954
"264","REP",103617,315249.26,"REP",12.661118906481,103617
"265","DEM",217306,1307371.56,"DEM",14.0835292368264,217306
"266","REP",109550,202329.6,"REP",12.217653329803,109550
"267","IND",79,16034.23,"Other",9.68248109101791,79
"268","DEM",150435,5057592.74,"DEM",15.436401184979,150435
"269","REP",135535,5650246.2,"REP",15.5472096773945,135535
"270","DEM",166578,1761939.94,"DEM",14.3819259986317,166578
"271","REP",108995,751139.49,"REP",13.5293466525136,108995
"272","REP",169976,2340925.06,"REP",14.666056734,169976
"273","DEM",124246,995539.36,"DEM",13.8110399396254,124246
"274","GRE",18780,4445.99,"Other",8.39975784530884,18780
"275","UNK",187583,2364757.42,"Other",14.6761860038229,187583
"276","DEM",126811,23337.01,"DEM",10.0577957913789,126811
"277","REP",200508,1301824.3,"REP",14.079277146408,200508
"278","DEM",137589,22725.36,"DEM",10.0312367605044,137589
"279","REP",274554,3398401.99,"REP",15.0388158761592,274554
"280","REP",259722,1024440.33,"REP",13.8396570019195,259722
"281","DEM",173125,2183498.35,"DEM",14.59643889624,173125
"282","REP",250506,2228898.33,"REP",14.6170179989455,250506
"283","DEM",96770,61943,"DEM",11.0339698863227,96770
"284","DEM",207515,949664.81,"DEM",13.7638643697381,207515
"285","REP",164355,2080501.63,"REP",14.5481195908703,164355
"286","DEM",102401,649084.99,"DEM",13.3833189424282,102401
"287","REP",201396,1611227.82,"REP",14.2925070674309,201396
"288","REP",193412,1178655.37,"REP",13.9798848297496,193412
"289","LIB",14766,1907.49,"Other",7.55354352068091,14766
"290","REP",221957,1233226.07,"REP",14.0251441148939,221957
"291","DEM",123849,147903.43,"DEM",11.9043148397755,123849
"292","LIB",15329,7471.44,"Other",8.91884303063324,15329
"293","REP",204920,1356932.2,"REP",14.1207369744148,204920
"294","DEM",158739,983464.71,"DEM",13.7988370341136,158739
"295","REP",94456,5102,"REP",8.53738789870176,94456
"296","LIB",11475,18212.52,"Other",9.80986454864973,11475
"297","REP",187702,987262.11,"REP",13.8026908454702,187702
"298","DEM",93356,11249,"DEM",9.32803451479283,93356
"299","REP",174791,3601734.05,"REP",15.0969259680111,174791
"300","DEM",130627,1419849.79,"DEM",14.166061642292,130627
"301","REP",206903,2403972.06,"REP",14.6926329522735,206903
"302","DEM",177403,2945150.95,"DEM",14.895670630121,177403
"303","DEM",198571,699336.2,"DEM",13.4578868784039,198571
"304","REP",170933,208818.45,"REP",12.2492204931559,170933
"305","REP",208598,2468355.99,"REP",14.719062895907,208598
"306","DEM",155002,1961681.69,"DEM",14.4893126684328,155002
"307","REP",226719,957450,"REP",13.7720287793523,226719
"308","DEM",142993,149415.31,"DEM",11.9144850230034,142993
"309","REP",169992,1635626.43,"REP",14.3075364265497,169992
"310","REP",874,1347875.17,"REP",14.1140399623088,874
"311","DEM",67739,147481.62,"DEM",11.901458836828,67739
"312","REP",181228,1530822.51,"REP",14.2413157371551,181228
"313","REP",176022,4081243.76,"REP",15.2219123430624,176022
"314","DEM",139300,569870.49,"DEM",13.2531644034682,139300
"315","REP",166998,1461220.83,"REP",14.1947828292082,166998
"316","DEM",81495,264191.25,"DEM",12.4844285516726,81495
"317","IND",19021,87797.07,"Other",11.382783407768,19021
"318","REP",216959,1070732.08,"REP",13.8838531594048,216959
"319","DEM",81710,17415.92,"DEM",9.76514000942657,81710
"320","REP",209810,1070732.08,"REP",13.8838531594048,209810
"321","DEM",80813,17415.92,"DEM",9.76514000942657,80813
"322","REP",251825,1318277.41,"REP",14.0918364498942,251825
"323","DEM",212401,768222.18,"DEM",13.5518342671665,212401
"324","REP",122093,4680,"REP",8.45105338891169,122093
"325","REP",233922,430426.25,"REP",12.9725312757469,233922
"326","REP",221242,1363365.48,"REP",14.125466818535,221242
"327","REP",202099,2604489.66,"REP",14.7727473061077,202099
"328","DEM",128728,451695.24,"DEM",13.0207629836195,128728
"329","REP",243645,3650778.44,"REP",15.1104509740525,243645
"330","DEM",12708,5066.05,"DEM",8.53031670023262,12708
"331","DEM",198289,1175669.68,"DEM",13.9773484836316,198289
"332","DEM",57125,44855.11,"DEM",10.7111927963368,57125
"333","REP",84912,379115.16,"REP",12.8455952901536,84912
"334","REP",91532,2005704.24,"REP",14.5115057989471,91532
"335","DEM",27830,14658.49,"DEM",9.59277496877138,27830
"336","REP",25662,738256.88,"REP",13.512047118899,25662
"337","REP",24882,569613.8,"REP",13.2527138663145,24882
"338","REP",21607,140889.98,"REP",11.8557345810926,21607
"339","REP",2457,157525.93,"REP",11.9673453586176,2457
"340","REP",70580,1005718.09,"REP",13.8212123617422,70580
"341","DEM",80593,469876.13,"DEM",13.0602243857585,80593
"342","REP",50412,784325.74,"REP",13.5725796977366,50412
"343","REP",44521,856351.81,"REP",13.66043656368,44521
"344","REP",21017,1001661.2,"REP",13.8171703796977,21017
"345","REP",13220,188696.4,"REP",12.1478946532732,13220
"346","REP",208545,439482.93,"REP",12.9933541557626,208545
"347","REP",207483,1603483.56,"REP",14.2876890454903,207483
"348","DEM",227546,296523.89,"DEM",12.5998830675299,227546
"349","REP",164569,102072.33,"REP",11.5334369586083,164569
"350","REP",192878,3388851.99,"REP",15.0360017759854,192878
"351","DEM",159081,3498450.16,"DEM",15.0678306169611,159081
"352","REP",242574,819587.77,"REP",13.6165567733224,242574
"353","DEM",192183,1150355.61,"DEM",13.9555816786259,192183
"354","REP",102577,225859.64,"REP",12.3276690233687,102577
"355","DEM",214640,760921.65,"DEM",13.5422856749074,214640
"356","REP",115048,570012.2,"REP",13.2534130430905,115048
"357","DEM",237501,1478598.99,"DEM",14.2066055690263,237501
"358","DEM",242989,3846648.1,"DEM",15.1627127036747,242989
"359","REP",105931,53054.16,"REP",10.8790685575558,105931
"360","DEM",185770,1959657.49,"DEM",14.4882802659361,185770
"361","REP",133081,1177144.69,"REP",13.978602309868,133081
"362","DEM",238838,1027256.01,"DEM",13.8424017373005,238838
"363","DEM",220657,2203493.34,"DEM",14.6055545407953,220657
"364","REP",124651,65767.88,"REP",11.0938868522348,124651
"365","GRE",11201,13060.2,"Other",9.47732471664885,11201
"366","DEM",235803,1409575.55,"DEM",14.1587991886674,235803
"367","LIB",27511,17850,"Other",9.78975878720778,27511
"368","DEM",275487,879240.05,"DEM",13.6868132338093,275487
