"","can_party","general_votes","ttl_disb","state"
"34","DEM",-0.318206249052122,-0.839002772812159,"AR"
"35","REP",0.99819827836143,-0.410356973931203,"AR"
"36","REP",0.571518793057668,-0.492800993464403,"AR"
"37","REP",0.603395072558456,-0.219096398097635,"CA"
"38","DEM",-0.103778260416503,-0.75468963285985,"CA"
"39","DEM",1.4583957399643,-0.259871796028739,"CA"
"40","REP",-0.750706295731759,-0.85854838732149,"CA"
"41","DEM",0.193779284279696,-0.162934541570858,"CA"
"42","REP",-0.403947595473672,-0.559901706839569,"CA"
"43","REP",1.03477578051196,-0.0667926191215651,"CA"
"44","DEM",-0.0757077325845564,-0.789680927321264,"CA"
"45","DEM",1.08941194744406,0.740161262780465,"CA"
"46","REP",-0.862727228023449,-0.859762695327289,"CA"
"47","DEM",0.505353437246434,-0.0643833462100078,"CA"
"48","REP",-0.983578499154607,-0.8596792513871,"CA"
"49","DEM",0.189053187436037,2.46991373219125,"CA"
"50","REP",0.102428807130539,0.215186094572384,"CA"
"51","REP",0.000494360470976069,-0.138993020821948,"CA"
"52","DEM",-0.670325338098675,-0.836792318995425,"CA"
"53","DEM",-0.0468785418382329,0.0555253415363129,"CA"
"54","REP",-0.471866581955843,-0.808632476605743,"CA"
"55","REP",-0.152494369197068,2.46238265433681,"CA"
"56","DEM",-0.254491001341416,0.399273916724762,"CA"
"57","DEM",0.969294465033365,-0.523509968756441,"CA"
"58","REP",-0.666519586429834,-0.855718048340697,"CA"
"59","DEM",1.70516018068812,1.98093570759371,"CA"
"60","Other",-0.896991430139981,-0.846376491289491,"CA"
"61","DEM",1.94248486482157,0.230318033256398,"CA"
"62","REP",-1.33298630106454,-0.858315538993153,"CA"
"63","DEM",1.17776508422658,-0.377927901150192,"CA"
"64","REP",-1.02127534003127,-0.858618273608159,"CA"
