"","can_party","general_votes","ttl_disb","state","lamvotes","tvotes","tdisb","disb","votes"
"162","REP",13220,188696.4,"LA",859.799182863253,-0.907551011754899,-0.41994185438303,12.1478946532732,174768400
"163","REP",208545,439482.93,"LA",5466.01072847055,0.866686290810371,-0.498853558994382,12.9933541557626,43491017025
"164","REP",207483,1603483.56,"LA",5447.34030462382,0.905028921533517,0.425350033722672,14.2876890454903,43049195289
"165","REP",164569,102072.33,"ME",4663.79458726186,0.402908354268914,-0.91524032803429,11.5334369586083,27082955761
"166","REP",192878,3388851.99,"ME",5187.27963676358,0.355189497002818,0.93479432027526,15.0360017759854,37201922884
"167","REP",242574,819587.77,"MD",6048.72297274499,0.987398590449145,-0.158253036555516,13.6165567733224,58842145476
"168","REP",102577,225859.64,"MD",3397.3315927239,-0.530685667122463,-0.847568712678085,12.3276690233687,10522040929
"169","REP",115048,570012.2,"MD",3668.91405624103,-0.554086984833699,-0.832458775698773,13.2534130430905,13236042304
"170","REP",105931,53054.16,"MD",3471.39448693262,-0.425618743669968,-0.904902583175006,10.8790685575558,11221376761
"171","REP",133081,1177144.69,"MD",4045.03923348862,-0.545594043682482,0.838049604437707,13.978602309868,17710552561
"172","REP",124651,65767.88,"MD",3871.4527442005,-0.185384884404751,-0.982665988336951,11.0938868522348,15537871801
"173","REP",107519,42809.87,"MA",3506.19009437238,-0.404168310229244,-0.914684632540876,10.6645239624607,11560335361
"174","REP",113055,18632.67,"MA",3626.19059857205,-0.330825131457552,-0.943692074988496,9.83267177055697,12781433025
"175","REP",102744,48129.1,"MA",3401.03800203635,-0.458717676345775,-0.888582069033543,10.7816422627664,10556329536
"176","REP",127803,261805.18,"MA",3936.79752649539,-0.171089910408055,-0.985255419957974,12.4753559183585,16333606809
"177","REP",197777,1377305.77,"MI",5275.2143833922,0.955849405606945,0.293856961463992,14.1356398082526,39115741729
"178","REP",212508,1309020.13,"MI",5535.40692248214,0.982465401773544,0.186444990058591,14.0847894229251,45159650064
"179","REP",203545,799297.29,"MI",5377.83131718966,0.964539649065753,-0.263937995332453,13.5914882331417,41430567025
"180","REP",194572,1045552.12,"MI",5217.76860601664,0.999066084989035,-0.0432083073572874,13.8600556483538,37858263184
"181","REP",193259,2546883.56,"MI",5194.14463195224,0.516269231177169,0.85642634297395,14.7503810363873,37349041081
"182","REP",184321,2575216.79,"MI",5031.89448829774,0.445438076539515,0.895312749808008,14.7614442788274,33974231041
"183","REP",205629,1591430.85,"MI",5414.67039818085,0.904515271890597,0.426441230319818,14.2801440751845,42283285641
"184","REP",215132,3970681.06,"MI",5581.12090727721,0.39039058344021,0.920649331918083,15.1944481895874,46281777424
"185","REP",200872,1376818.13,"MI",5330.39766747407,0.959898003186322,0.280349466699889,14.1352856920089,40349560384
"186","REP",16610,52123.23,"MI",1002.1356520505,-0.876850260660377,-0.480763580546436,10.86136600169,275892100
"187","REP",96104,20073,"MI",3252.09112205169,-0.514653095395948,-0.857398502097694,9.90713090745093,9235978816
"188","REP",166526,370919.23,"MN",4700.89232859528,0.544386247363191,-0.838834676012993,12.8237396089927,27730908676
"189","REP",173970,1035971.94,"MN",4840.71077909718,0.996504402114321,-0.0835402691327939,13.8508506164927,30265560900
"190","REP",223077,5782424.64,"MN",5718.4268763449,0.275840247829934,0.961203494415787,15.5703336405774,49763347929
"191","REP",121032,62633.03,"MN",3795.75000566773,-0.236585316729719,-0.971610718296118,11.0450480537201,14648745024
"192","REP",235380,1767927.84,"MN",5927.90817902986,0.914118397921577,0.405447351182973,14.3853187068672,55403744400
"193","REP",156952,19563.84,"MN",4517.9928817912,0.28222669852466,-0.959347742291538,9.88143824333916,24633930304
"194","REP",177089,3777616.71,"MN",4898.70468296112,0.227254720482474,0.973835351596168,15.1446038687471,31360513921
